"filename", "language", "HTML", "Markdown", "TypeScript", "JSON", "JSON with Comments", "Rust", "TypeScript JSX", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\workspace\DysProSim-rr\dysprosim-tauri\src\components\StatusBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 5, 60
"c:\workspace\DysProSim-rr\dysprosim-tauri\src\components\ToolManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 17, 155
"c:\workspace\DysProSim-rr\dysprosim-tauri\src\components\Toolbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 328, 0, 0, 0, 37, 365
"c:\workspace\DysProSim-rr\dysprosim-tauri\src\components\ValidationErrorModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 12, 173
"c:\workspace\DysProSim-rr\dysprosim-tauri\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\workspace\DysProSim-rr\dysprosim-tauri\src\store.ts", "TypeScript", 0, 0, 2304, 0, 0, 0, 0, 0, 0, 3, 216, 2523
"c:\workspace\DysProSim-rr\dysprosim-tauri\src\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1695, 0, 0, 269, 1964
"c:\workspace\DysProSim-rr\dysprosim-tauri\src\types\index.ts", "TypeScript", 0, 0, 590, 0, 0, 0, 0, 0, 0, 0, 75, 665
"c:\workspace\DysProSim-rr\dysprosim-tauri\src\utils\connectionUtils.ts", "TypeScript", 0, 0, 278, 0, 0, 0, 0, 0, 0, 0, 33, 311
"c:\workspace\DysProSim-rr\dysprosim-tauri\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"c:\workspace\DysProSim-rr\dysprosim-tauri\tsconfig.node.json", "JSON", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\workspace\DysProSim-rr\dysprosim-tauri\vite.config.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\workspace\DysProSim-rr\dysprosim-tauri\可选模拟控制项.md", "Markdown", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 81, 204
"c:\workspace\DysProSim-rr\dysprosim-tauri\操作手册.md", "Markdown", 0, 1039, 0, 0, 0, 0, 0, 0, 0, 0, 360, 1399
"c:\workspace\DysProSim-rr\dysprosim-tauri\规则说明.md", "Markdown", 0, 361, 0, 0, 0, 0, 0, 0, 0, 0, 204, 565
"Total", "-", 1594, 1684, 3185, 15449, 21, 10242, 13281, 1695, 55, 36, 4034, 51276
